id	nv	ru	en
106	"вадуд, вандуд"	"1) растить, воспитывать; 2)выращивать (кого-, что-л.)"	
107	вази	"трещина (во льду, в скале)"	
108	"вазр̆, тоӄо"	"ограда, забор, изгородь"	
109	вазуд	"1) сшивать полосы невода; 2) соединять, скреплять; 3) сближать, смыкать; 4) надставлять"	
110	вазӽ	цапля	
111	вай I	"низ, подножие"	
112	вай II	под	
113	вайд	громко выть (о собаке)	
114	"ваймук, чу"	"1. семейство, семья; 2. семейный"	
115	"ваӄи, ваӄай"	"ящик, короб, сундук, шкатулка"	
116	ваӄод	"веселиться, резвиться"	
117	ваӄт	"быть кислым, горьким"	
118	ваӄла	"кислый, горький"	
119	вал	"цвет, окраска, тон"	
120	валад	быть одноцветным	
121	вала	одноцветный	
122	валд	"отрезать, перерезать"	
123	"валки, ӈфар̆"	цепь	
124	валс	"пояс (сплетённый из кожи, соломы)"	
125	вамад	"обсуждать, разбирать, обдумывать"	
126	вамӄ	"рукавица, рукавицы"	
127	ванивӈ	"боец, воин"	
128	вань	"котёл, кастрюля"	
129	ваньд	"1) придавливать, прижимать; 2) гладить, утюжить"	
130	"ваӈ, паӈ"	поплавок	
131	вард	"состязаться, соревноваться"	
132	вари-вари	"идти следом, гуськом (за кем-л.)"	
133	варуд I	промахнуться	
134	варуд II	развести большой огонь; разжечь костёр	
135	варуд III	поровну	
136	варъюд	"шуметь, галдеть"	
137	вар̆	"брюки, штаны"	
138	вар̆ӄад	"поставить, положить поперёк"	
139	ват	1. железо; 2. железный	
140	ватюд	ковать	
141	ваф	"1) место боя, сражения; 2) бой, сражение; война"	
142	"вах I, кеп"	"1) рукоятка, черенок; 2) древко; 3) носик (у чайника); 4) топорище"	
143	ваӽ I	1. мох; ягель; 2. мшистый	
144	ваӽ II	стружка	
145	ваӽтьт	1. быть рваным; 2. рваный	
146	ваӽтюд	рвать на части	
147	"веӻл, чаӄ"	острога-трезубец	
148	вед	бежать (о животном)	
149	везд	"набрасываться, нападать (о животном)"	
150	вел	кета (летняя)	
151	велвелд	вилять	
152	велла-велла	"образн. сл. о движении, колебании (чего-л.) из стороны в сторону"	
153	велӽ	1) моллюск; 2) раковина	
154	верд	быть широким	
155	верла	широкий	
156	верлаф	"открытая местность; широта, простор"	
157	верр̆	ширина	
158	вер̆	товар	
159	"вер̆кид, ескид"	"продавать, торговать"	
160	вер̆ковд	сидеть на корточках	
161	вер̆пор̆	"продавец, торговец"	
162	"вес, атк"	ворон	
163	весӄард	"быть сильным, могучим"	
164	весӄарла	"сильный, могучий"	
165	ветад	одеваться	
166	ветаўд	одевать	
167	"ветьӄ, ӿиўсо"	кета-зубатка (позднеосенняя)	
168	веўд	быть глубоким	
169	веўла	глубокий	
170	веўлаф	"1) глубокое место реки, озера; 2) глубина; 3) пропасть"	
171	вигуд	"1) посылать, направлять; 2) удалять, ссылать; 3) отпускать, пускать"	
172	"виғвур̆, вивғур̆"	"пояс, ремень"	
173	вид	"идти, ехать, двигаться, перемещаться"	
174	визлых	"корень (дерева, растения)"	
175	"винд I, озавд"	"жалеть, скупиться"	
176	винд II	"беречь, сохранять"	
177	"вих, ух"	нос	
178	во	"1. стойбище; посёлок, село; 2. поселковый, сельский"	
179	"воӻдёӈр̆, воӽ"	кочка	
180	волуд	"повалить, свалить"	
181	волуф	бурелом	
182	во мар̆к	плавник (спинной части рыбы)	
183	вонӈ	"житель, селянин"	
184	"воӈи, меӄ"	кабарга	
185	вопуд	"собираться, сходиться, сосредоточиться в одном месте"	
186	ворд	встречаться	
187	ворф	место встречи	
188	вотигур̆	"подобно (кому-, чему-л.)"	
189	"вотид, ӈалад"	"1. быть похожим; 2. похожий; 3. будто, как будто (при сравнении)"	
190	вувуд I	"окликать, звать, призывать"	
191	вувуд II	гудеть	
192	вуғуд	укреплять (что-л. в вертикальном положении)	
193	вуквукуд	1. быть тёмным; 2. тёмный	
194	вуквукур̆	темнота	
195	вукруд	"1) соединять, связывать; 2) складывать (что-л. в ряд)"	
196	вукр̆	"ряд, слой, пласт"	
197	вулвулд	"быть чёрным (о ткани, об одежде)"	
198	вулвула	чёрный	
199	вулквулкуд	"свёртывать, скатывать"	
200	вуньд	истекать	
201	вуӈ	1. пчела; 2. пчелиный	
202	вурд	расстилать (что-л. тонким слоем)	
203	вығид	"волочить, тащить"	
204	вығма	"юкола (молотая, смешанная с нерпичьим жиром)"	
205	вығр̆кыд	"закисать, портиться"	
206	вызғалр̆	"национальное блюдо (приготовленное из ягод, рыбьих молок и нерпичьего жира)"	
207	вызғд	замешивать	
208	вызд	перекликаться	
209	выйд	"реветь (о медведе, тигре)"	
210	выкзд	"терять, утрачивать"	
211	вылкт	"1) смешивать, размешивать; 2)прибавлять, добавлять"	
212	вылӈуд	1) переворачивать; выворачивать наизнанку; 2) переводить (с одного языка на другой)	
213	выпыд	"баюкать, качать ребёнка"	
214	вырд	стелить	
215	выскыл	халат (из рыбьей кожи)	
216	ғавуд	"красить, окрашивать"	
217	ғатруд	высмеивать	
218	ғед	1) взять; 2) купить	
219	ғезуд	"цедить, процеживать"	
220	"ғузуд, ғузунд I"	"1) доставать, вытаскивать; 2) удалять"	
221	ғузунд II	тошнить	
222	ғукуд	"отряхивать, стряхивать"	
223	ғулд	вырезать (отделять что-л. резанием)	
224	ғыйд	"ТаЩИТЬ, ВОЛОЧИТЬ"	
225	ғылд	"обходить, огибать"	
226	ғымд	"просунуть руку в щель, отверстие"	
227	ғымкымд	хватать (что-л. горстью)	
228	"ғырд, юкрд"	удлинять	
229	ӻавд	"1) выжимать, отжимать; 2) доить (корову, козу)"	
230	"ӻаруд, ӻарунд"	"удерживать, сдерживать; останавливать"	
231	ӻаруф	остановка	
232	ӻар̆	"1. оса, шмель; 2. осиный, шмелиный"	
233	ӻаўд	"глотать, проглатывать"	
234	ӻовд	черпать	
235	ӻовр̆	черпак	
236	ӻоӻд	1) наносить контуры орнамента; 2) чертить; 3) рисовать	
237	ӻод	нанизывать	
238	ӻоми	1) направление от суши к берегу; 2) направление с вершины горы к её основанию	
239	ӻонид	"спасти, избавить"	
240	ӻоньдид	грузить	
241	ӻотьт	"1) столкнуть лодку с берега в воду; 2) снять, спустить сверху (что-л.)"	
242	ед	1) варить; 2) тушить (на медленном огне)	
243	е	1) варёный; 2) тушёный	
244	елелд	"лизать, слизывать, вылизывать, облизывать"	
245	еми	направление от береговой ПОЛОСы в глубь суши	
246	ераӄ	каша	
247	"ескид, вер̆кид"	"продавать, торговать"	
248	"етьт, етьнд"	"1) вытащить из ВОДы на берег (лодку, сеть); 2) снять с огня"	
249	ё	1. ржавчина; 2. ржавый	
250	ёвд	"чинить (невод, сеть, одежду)"	
251	ёӻоӈ	1. вата; 2. ватный	
252	ёд	ржаветь	
253	ёзд	"1) выслеживать, идти по следу зверя; 2) охотиться на нерпу с лодки (в весенний период во льдах)"	
254	ёзуд I	закрыть дверь на ключ	
255	ёзуд II	"1) разбудить; 2) поднять (кого-, что-л.), придать (кому-, чему-л.) вертикальное положение"	
256	ёӄон	"1. якут, якуты; 2. якутский"	
257	ёлд	"1) морщить, собирать в морщины; 2) собирать, стягивать (ткань, кожу)"	
258	ёловд	разбавлять	
259	ёлф	"сборка (на одежде, mкани)"	
260	"ёмӻд, моӻд"	1) стричь волосы; 2) брить	
261	ёмӻ	1) стриженый; 2) бритый	
262	ёнид	"беречь, хранить (кого-, что-л.)"	
263	"ёниӈаӈ, к’мый"	дуб	
264	ёӈард	жалеть	
265	ёӈарла	жалобный	
266	ёпуд	"1) собирать, подбирать; 2) копить; 3) складывать, укладывать"	
267	ёрд	встречать	
268	ёрф	место встречи (с кем-л.)	
269	ёр̆кид	идти наперерез	
270	ёскт	встречаться лицом к лицу	
271	"ётнд, ётт"	шить	
272	"ётотнд, ётотт"	спрашивать	
273	"ёӽ, эмр̆"	"1) жена младшего брата, невестка; 2) жена сына, невестка"	
274	"ёӽтт, ёӽтнд"	лечить	
275	за	минога (рыба)	
276	зад	бить	
277	зазад	ударять	
278	заӄ	синица	
279	заӄаўд	"укрепить, закрепить"	
280	заӈдилк	заколка	
281	зелмд	"гладить, ласкать"	
282	зитт	"мять (кожу, шкуру)"	
283	зод	сгибать	
284	зом	утка-каменушка	
285	"зосӄд, зосӄт"	"1) сломать, испортить, повредить; 2) нарушить"	
286	зосӄ	"сломанный, испорченный, повреждённый"	
287	зосӄф	"место, участок повреждения"	
288	зоф	место сгиба	
289	"зуд, эзӻойд"	"1) МЫТЬ, умывать; 2) стирать"	
290	зур̆	мочалка	
291	и I	частица вопр. да	
292	и II	река	
293	ивд	есть (иметься)	
294	иврыд	"прибирать, убирать, наводить порядок"	
295	иғ дяӄо	СТрОГаЛЬНЫЙ НОЖ	
296	иғд I	ожидать	
297	иғд II	косить	
298	иғлуд	бояться	
299	иғлу	"боязливый, трусливый"	
300	иғӈа	крохаль (вид утки)	
301	иғрд I	пользоваться	
302	иғрд II	носить (какую-л.) одежду	
303	"иғрӈамх, айғчаӽ"	ручей	
304	иғрыд	1) НаХОДИТЬСЯ вместе (с КеМ-л.); 2) сопровождать	
305	извуд	запрягать	
306	изд I	"бросать, метать (копьё, острогу)"	
307	изд II	разделывать тушу	
308	икр̆	нартовая упряжка (из девяти собак)	
309	илвид	надевать обувь на босу ногу	
310	илғд I	срезать мездру (ножом)	
311	"илғд II, ӄ’о ӄад"	ледоход	
312	илмд	держать во рту (что-л.)	
313	илмр̆	мундштук	
314	илх I	десна	
315	илх II	ровдуга (вид замши)	
316	имғд	"дать, вручить"	
317	ин	1) они; 2) их	
318	"индыд, идыд"	"видеть, увидеть; находить, обнаруживать"	
319	"инлуд, эньлаўд"	"нырять, погружаться в воду с головой"	
320	иньд	есть (питаться)	
321	иньк	пища	
322	иньф	"место, где едят; столовая"	
323	ирвид	готовить еду	
324	ирвыф	кухня	
325	ирд I	"1) хранить, беречь; 2) содержать"	
326	ирд II	"точить, оттачивать"	
327	ирлыд	"тащить, тянуть"	
328	ирмыд	"1) переходить, переправляться через горный хребет; 2) перешагнуть, перепрыгнуть"	
329	ирӈгун	родители	
330	ир̆пт	1) сидеть; 2) оседлать	
331	ис	крепление на лыжах	
332	искуйд	пинать	
333	ит	берестяная подкладка на лыжах	
334	ити	"1) подбородок; 2) челюсть (у человека, животного, рыбы)"	
335	итид	зажечь огонь	
336	"итт, итнд"	говорить	
337	итур̆	дощатый настил на помосте для обработки рыбы	
338	иў	утка	
339	иўғд	1) убивать; 2) добывать	
340	"иўс, атьмсо"	щука	
341	их	КОПыЛЬЯ (у нарты)	
342	ихкун	"сваи, на которых воздвигаются летнее жилище и амбары"	
343	йаӈ	"он, она, оно"	
344	йивд	"иметься, иметь"	
345	йивуд	"красить, окрашивать"	
346	йилкт	заикаться	
347	"йилкуд, йилкунд"	носить (что-л.) за поясом	
348	йир̆куд	1) закреплять; 2) заарканивать (животное)	
349	йиф	"место, участок"	
350	камук	древесный гриб	
351	касказид	"быть старательным, усердным"	
352	касказила	"старательный, усердный"	
353	"касказир̆, касказит"	"старательно, усердно"	
354	касыд	"беспокоиться, волноваться, тре­
 вожиться"	
355	катанк	валенки	
356	"кафкавд, кафкавуд"	"быть застывшим, твёрдым, чёрствым, высохшим"	
357	кафкаву	"твёрдый, застывший, чёрствый, высохший"	
358	кевкевзд	быть кудрявым	
359	кевкевз	кудрявый	
360	кеврад	быть любопытным	
361	кевра	любопытный	
362	кеврмуд	"ёрзать, беспокойно двигаться"	
363	кевр̆кеврд	"извиваться, изгибаться"	
364	кеғрад	осуждать	
365	кеӻъюд	1) визжать (о животном); 2) взвизгивать (при смехе)	
366	кед	"1) вытянуться, растянуться в длину; 2) лечь растянувшись, распрямившись"	
367	кезӻор̆	чёрная берёза	
368	кезӄт	обжечься	
369	кезрд	шипеть (при поджаривании)	
370	кекид	"проявлять активность, деятельность, энергию"	
371	кеки	"активный, деятельный, энергичный"	
372	кекилад	"быть искусным, умелым"	
373	кекила	"искусный, умелый"	
374	кеӄръюд	"индеветь, покрываться инеем"	
375	келад	лежать развалясь	
376	келғелд	переворачиваться с боку на бок	
377	"келм, келӻар̆, келм алр̆"	1. малина (ягода); 2. малиновый	
378	кеӈ	1. кит; 2. китовый	
379	кеӈрад	"веселиться, резвиться"	
380	кеӈъюд	кричать изо всех сил	
381	кеоз	1. струна; 2. струнный	
382	кеозват	1. проволока; 2. проволочный	
383	"кеп, вах"	"1) рукоятка, черенок; 2) древко; 3) носик (у чайника); 4) топорище"	
384	кераӄ	палочка для прочистки курительной трубки	
385	керғъюд	"шуршать, шелестеть"	
386	керд	"1) отказать; 2) не желать, не хотеть"	
387	кер̆	1) грязь; 2) тина	
388	кер̆ӄӈ	1. море; 2. морской	
389	кесӄф	ожог	
390	кеспи	капля	
391	кетвд	"прилипнуть, приклеиться"	
392	кеть	"глубокое корыТО, в которое складывают икру или сало (нерпы) для прокисания"	
393	кеӽ	чайка	
394	"кеӽтьт, кафтьт"	поседеть	
395	ки	обувь	
396	кивд	"заниматься тиснением, тиснить узоры по коже"	
397	кизн	голенище	
398	"кикун, чхуйғур̆, чхуйғыр̆"	филин	
399	килатьр̆	стелька для обуви	
400	"кинр̆, милк"	дух (злой)	
401	кип	топорище	
402	киўзунд	выстилать обувь сухой травой	
403	киўс	мягкая трава для ВыСТИЛКИ обуви	
404	ких I	тетива	
405	ких II	1) рассол; 2) раствор	
406	"клы, кутли"	1. 1) улица; 2) двор; 2. снаружи	
407	"кр̆уӈи, паӻд"	кулик	
408	ку	1) сутки; 2) день	
409	кувр̆к	хрящ	
410	"куғл, тапи"	бабочка	
411	куд	"мест. указ. тот, та, то (отсутствующий в данной речевой ситуации)"	
412	"кузд, кузинд, п’уд"	выходить	
413	кузик	кусковой сахар	
414	куйвыӈ	"перстень, КОЛЬЦО"	
415	куйӈи	1. тальник; 2. тальниковый	
416	куквурд	крошиться	
417	куквур̆	крошка	
418	кукуд	опадать (о листве)	
419	кул	"дюна, песчаный холм (на берегу моря)"	
420	кула	сверчок	
421	кулғаӈ	рулон материи	
422	кулғулд	"таращить, выкатывать глаза"	
423	кулғур̆	колесо	
424	кулкулд	дразнить	
425	кулуд	"1) открывать глаза; 2) широко раскрывать глаза (от удивления, страха)"	
426	курғъёд	журчать	
427	курӈ	"1) мир, вселенная, космос; 2) бог, всевышний"	
428	"куръюд, кыюд"	"дрожать (от холода, страха)"	
429	куткуд	сбивать с дерева (что-л.)	
430	"кутли, клы"	1. 1) улица; 2) двор; 2. снаружии	
431	"кутьт, кутьнд"	"1) падать, валиться (сверху); 2) опадать, осыпаться (с деревьев, с кустов)"	
432	кыд	идти (об атмосферных осадках)	
433	кыдръюд	"1) производить непрестанный шум (при передвижении тяжёлых предметов); 2) сопеть, храпеть; 3) мурлыкать (о кошке)"	
434	кыдр̆	"1) спина; 2) спинка, спинная часть (у рыбы)"	
435	кыкык	лебедь	
436	"кылаӈа, умлаӈа"	1. змея; 2. змеиный	
437	кылд	быть длинным	
438	кыла	длинный	
439	кылр̆	длина	
440	"кылчо, мар̆, п’хыйксо"	налим (рыба)	
441	кыӈд	"замёрзнуть, застыть"	
442	кыӈла	мороженый	
443	кыӈ чо	мороженая рыба	
444	кыпрд	стоять	
445	кыфтюд	"заботиться, опекать"	
446	кыфтю	заботливый	
447	к’аўк	нет	
448	к’выр̆	кишка	
449	к’е	"сеть, невод"	
450	К’евонгун	Кевонгу́н (один из нивхских родов)	
451	к’евонӈ	кевонгу́н (член нивхского рода Кевонгу́н)	
452	к’еғръюд	скрежетать зубами	
453	к’еғр̆	леска	
454	к’ед	"1) быть худым, тощим; 2) быть измождённым"	
455	к’е	"1) худой, тощий; 2)измождённый"	
456	к’езд	"ставить сеть, невод"	
457	к’eӄ	1. лиса; 2. лисий	
458	к’eӄр̆	1) территория вверх по течению реки; 2) направление вверх по течению реки	
459	к’eӈ	1. солнце; 2. солнечный	
460	к’еӈ марф	восток	
461	к’еӈрад	"светить, излучать свет (о солнце)"	
462	к’еӈ юғф	запад	
463	к’ерайд	"1) беседовать; 2) рассказывать; 3) извещать, сообщать, оповещать"	
464	к’еръюд	"шуршать, шелестеть (об одежде)"	
465	к’ер̆ I	"новость, известие, слух"	
466	к’ер̆ II	шест для закрепления невода	
467	к’ер̆ӄод	удить	
468	к’ер̆ӄор̆	удочка	
469	к’еӽ	верёвка от невода (верхняя)	
470	"к’и, юру"	самострел	
471	к’икр̆	"1) пространство, расположенное на высоте; 2) направление вверх"	
472	к’икт	грести (вёслами)	
473	к’илӈ	1. эвенк; 2. эвенкийский	
474	к’иӈнуд	уважать	
475	к’иӈнулад I	"быть приятным, симпатичным, дружелюбным, улыбчивым"	
476	к’иӈнула	"приятный, симпатичный, дружелюбный, улыбчивый"	
477	к’иӈнулад II	"быть нарядным, интересным, красивым"	
478	к’иӈнула	"нарядный, интересный, красивый"	
479	к’итӈ	снасть (для ловли осетра и калуги)	
480	к’иў	"ячея, ячейка невода"	
481	"к’ловр̆, т’ловр̆, т’р̆овр̆"	гвоздь	
482	"к’лойд, т’лойд"	бежать (о человеке)	
483	к’луд	бояться	
484	к’лу лоӈ 	ЯНВарь	
485	"к’лы, т’лы I"	напёрсток	
486	"к’лы, т’лы II"	1. небо; 2. небесный	
487	"к’мир ӈакc, теви ӈaкc"	шиповник (кустарник)	
488	"к’мирӈ алр̆, теви алр̆"	шиповник (ягода)	
489	"к’мый, ёниӈaӈ"	дуб	
490	"к’руғру, ыр̆ты-ыр̆ты"	"остоянно, регулярно, изо дня в день"	
491	"к’рығри, хрығры "	"ради, для, из-за"	
492	к’рығрыр̆	"1) слуга; батрак; 2) изображение духа в виде деревянной, грубо отёсанной фигурки человека"	
493	к’рызд	"насытиться, наесться"	
494	"к’рыр̆, хрыт"	с	
495	"к’рыўд, сарӻод "	отдыхать	
496	"к’рыўф, сарӻоф"	"место отдыха, привал"	
497	к’р̆од 	навешивать	
498	"к’р̆у, поск"	послезавтра	
499	к’р̆уд	светать (время перед восходом солнца)	
500	к’р̆уӈзд	ГНИТЬ (о дереве)	
501	к'р̆ы	1) скалистый мыс; 2) утёс; 3) скалистый берег	
502	к’у	1) стрела; 2) пуля	
503	к’увань	большой медный котёл	
504	"к’уваӈ, к’уйвыӈ"	1) нитка; 2) пряжа	
505	к’увр̆	обруч	
506	к’уғи	1. айн; 2. айнский	
507	"к’уғрӈи, к’уғрӈай, т’аӻр̆"	бурундук	
508	"к’узи, ӿир̆кур̆, потя"	петля (ловушка для пушных зверей)	
509	к’узр̆	росомаха	
510	к’уну	"заря (утренняя), рассвет "	
511	к’унуд	рассветать	
512	к’уӈъюд	стучать	
513	к’усир̆	1) патронташ; 2) деревянный кол­чан для стрел	
514	к’ути	"1) пролив, протока; 2) отверстие, щель, дыра; 3) нора"	
515	к’утивар̆кт	1. быть дырявым; 2. дырявый	
516	"к’ы, тух"	"топор, колун"	
517	к’ывғыф	паук	
518	к’ыд	"1) достигать мастерства, умения; 2) одолевать, побеждать"	
519	к’ызм	"боярышник (ягода, кустарник)"	
520	"к’ымлыд, к’ымлад "	"думать, размышлять"	
521	к’ыӈ	топорище	
522	к’ырд I	1. голодать; 2. голодный	
523	"к’ырд II, элӈад"	неводить (ловить рыбу неводом)	
524	к’ырф	неводная тоня (участок водоёма для ловли рыбы неводом) 	
525	к’ыр̆	голод	
526	к’ыс 	"1) счастье; 2) успех, удача "	
527	к’ыск	1. кошка; 2. кошачий 	
528	к’ыск нонӄ	котёнок	
529	к’ыфъюд	стучать топором 	
530	ӄаври 	камбала с чёрно-жёлтой спинкой	
531	ӄаӻӈ	1. сосна; 2. сосновый 	
532	ӄаӻъёд	плакать	
533	ӄад I	отхлынуть от берега ( о воде) 	
534	ӄад II	"1) двигаться, перемещаться вниз по течению реки; 2) направляться от заднеи стены жилища к двери"	
535	ӄай	парус	
536	ӄаӄф	костяника (ягода) 	
537	ӄалагур̆	презрительно	
538	ӄалад 	"быть незрелым, неспелым, зелёным "	
539	ӄала	"незрелый, неспелый, зелёный"	
540	ӄалӻалад	быть светлым	
541	ӄалӻала	светлый	
542	ӄалд	1. быть косым; 2. косой 	
543	ӄалм	кит (небольшой по величине)	
544	"ӄалмыӈ, ӄалӈыр̆ "	доска	
545	ӄалӈ	банка	
546	ӄамлаӽ	плавник (рыбы) 	
547	ӄанд	ларга (вид нерпы) 	
548	ӄандё 	кунжа (рыба) 	
549	ӄанӈ	1. собака; 2. собачий 	
550	ӄаӈи	навага (рыба) 	
551	ӄап алр̆	черёмуха (ягода)	
552	ӄар̆ лоӈ	март	
553	ӄард	останавливаться 	
554	ӄарӈ	грач	
555	ӄар̆ӄ	синяя сарана (лилия) 	
556	ӄаурд	скрипеть; хрустеть 	
557	"ӄесӄод, ӄесӄт"	обжигаться	
558	ӄлай	ловушка	
559	"ӄмазнд, ӿуньд"	болезнь (обычно глаз)	
560	ӄод	болеть	
561	ӄо	больной	
562	ӄой	"лиственница, лиственничный"	
563	ӄолаф 	"1) место, участок тела, поражённый болезнью; 2) болезнь, недомога­ние, нездоровье"	
564	ӄолод	"КОСИТЬСЯ; смотреть КОСО, недру­желюбно"	
565	ӄоӈӷоӈ	варган (губной музыкальный инструмент)	
566	"ӄоӈӷр валад, нлайс валад "	быть зелё­ным	
567	ӄоӈӷр вала	зеленый	
568	ӄор̆ӄорд	кипеть	
569	"ӄор̆ӄор, ӿесӄр̆"	горло	
570	ӄ’а	1) имя; фамилия; 2) кличка (животного)	
571	ӄ’авд	быть горячим	
572	ӄ’авла	горячий	
573	ӄ’ави	снег	
574	ӄ’авлад	"жара, зной "	
575	ӄ’авӈи	снегирь	
576	ӄ’аврд	1. нет; 2. не иметь	
577	ӄ’авр̆	грелка	
578	ӄ’адръюд 	царапать (обо что-л.) 	
579	ӄ’азр̆ I	ловушка (для лисиц и волков в виде развилки)	
580	ӄ’азр̆ II	ковёр	
581	ӄ’ал	"ножны, чехол"	
582	ӄ’алд	"менять, сменить "	
583	ӄ’aлӈ	1. род; 2. родовой	
584	"ӄ’амӽ, П’ЛЫӈГ"	1) зола; 2) сажа	
585	ӄ’ас	бубен	
586	ӄ’астяр̆ 	колотушка для бубна	
587	ӄ’apӻaӈ	затон для ловли рыбы	
588	ӄ’apӄaр̆	грабли	
589	ӄ’ар̆	лапата 	
590	ӄ’ар̆пн	копыто	
591	ӄ’атт	"1. быть лысым, плешивым; 2. лысый, плешивый"	
592	ӄ’атьӈ	"1) вид, порода; 2) образец, сорт; 3) племя, народ"	
593	ӄ’атьӈ-ӄ’атьӈ	"разнообразный, разносортный, разновидный"	
594	ӄ’ауд I	сохнуть	
595	ӄ’аў	сухой	
596	ӄ’ауд II	отсутствовать; не иметься 	
597	ӄ’ауд III	"звать, называть "	
598	ӄ’аўрам	"берестяной чум, шалаш, укрытие"	
599	"ӄ’аўри, остол"	тормоз (для нарт) 	
600	ӄ’аӽ	копьё	
601	"ӄ’аӽтар, ӿарӈи"	гагара (небольшая) 	
602	ӄ’ваад	издавать звуки (подобные звуку взрыва)	
603	ӄ’ваюд	"бурлить, шуметь (о реке в половодье)"	
604	ӄ’овӻовд	"1. быть смятым, скомканным; 2. смятый, скомканный"	
605	ӄ’овл	плавник (брюшной части рыбы)	
606	"ӄ’овр̆, чапр̆"	"черпак, ковш (для питья)"	
607	ӄ’оӻл	"1) душа; 2) характер; 3) мысль; 4) ум, разум, рассудок, сознание; 5) память"	
